iter,F_cheb,mean_F_k,worst_F_k,worst_k,worst_over_mean,mean_cos_theta,inner_mean,inner_std,eps_r_min,eps_r_max,mu,time_s,accepted,F_k_f1,F_k_f2,F_k_f3,R_tv,g_data_norm,g_tv_norm
1,4.363777e-01,4.363777e-01,2.655386e+00,35,6.0851,0.036667,4.0000,0.0000,4.0000,4.0000,0.150000,73.1,1,1.995745e-01,6.740352e-01,4.355234e-01,5.403916e-12,1.325887e-01,0.000000e+00

2,3.712428e-01,3.712428e-01,7.852693e-01,48,2.1152,-0.043781,3.5098,0.0249,3.4754,3.5662,0.300000,71.8,1,2.619791e-01,4.486673e-01,4.030821e-01,2.914370e+01,6.460917e-02,2.599730e+02
3,2.965837e-01,2.965837e-01,1.988663e+00,35,6.7052,0.359389,4.4929,0.0351,4.3958,4.5351,0.500000,72.1,0,5.975452e-02,4.464892e-01,3.835075e-01,4.142625e+01,5.070536e-02,3.103750e+01

4,2.892711e-01,2.892711e-01,2.322531e+00,40,8.0289,0.352766,5.5477,0.2499,4.9630,5.8817,0.500000,71.0,0,1.137346e-01,3.135489e-01,4.405297e-01,3.044043e+02,4.355212e-02,2.264614e+02
5,2.892711e-01,2.892711e-01,2.322531e+00,40,8.0289,0.352766,5.5477,0.2499,4.9630,5.8817,0.075000,80.5,0,1.137346e-01,3.135489e-01,4.405297e-01,3.044043e+02,4.355212e-02,2.264614e+02
6,2.892711e-01,2.892711e-01,2.322531e+00,40,8.0289,0.352766,5.5477,0.2499,4.9630,5.8817,0.075000,69.8,0,1.137346e-01,3.135489e-01,4.405297e-01,3.044043e+02,4.355212e-02,2.264614e+02
7,2.892711e-01,2.892711e-01,2.322531e+00,40,8.0289,0.352766,5.5477,0.2499,4.9630,5.8817,0.075000,65.3,0,1.137346e-01,3.135489e-01,4.405297e-01,3.044043e+02,4.355212e-02,2.264614e+02
8,2.892711e-01,2.892711e-01,2.322531e+00,40,8.0289,0.352766,5.5477,0.2499,4.9630,5.8817,0.075000,67.0,0,1.137346e-01,3.135489e-01,4.405297e-01,3.044043e+02,4.355212e-02,2.264614e+02
9,2.892711e-01,2.892711e-01,2.322531e+00,40,8.0289,0.352766,5.5477,0.2499,4.9630,5.8817,0.075000,70.9,0,1.137346e-01,3.135489e-01,4.405297e-01,3.044043e+02,4.355212e-02,2.264614e+02
10,2.892711e-01,2.892711e-01,2.322531e+00,40,8.0289,0.352766,5.5477,0.2499,4.9630,5.8817,0.075000,70.1,0,1.137346e-01,3.135489e-01,4.405297e-01,3.044043e+02,4.355212e-02,2.264614e+02
