iter,F_cheb,worst_F_k,mean_F_k,worst_over_mean,inner_mean,inner_std,R_tv
1,4.363777e-01,2.655386e+00,4.363777e-01,6.0851,4.0000,0.0000,7.667280e-12
2,3.795406e-01,1.369854e+00,3.795406e-01,3.6092,3.8024,0.0341,7.421496e+01
3,3.795406e-01,1.369854e+00,3.795406e-01,3.6092,3.8024,0.0341,7.421496e+01
4,3.795406e-01,1.369854e+00,3.795406e-01,3.6092,3.8024,0.0341,7.421496e+01
5,3.795406e-01,1.369854e+00,3.795406e-01,3.6092,3.8024,0.0341,7.421496e+01
6,3.795406e-01,1.369854e+00,3.795406e-01,3.6092,3.8024,0.0341,7.421496e+01
7,3.795406e-01,1.369854e+00,3.795406e-01,3.6092,3.8024,0.0341,7.421496e+01
8,3.795406e-01,1.369854e+00,3.795406e-01,3.6092,3.8024,0.0341,7.421496e+01
9,3.795406e-01,1.369854e+00,3.795406e-01,3.6092,3.8024,0.0341,7.421496e+01
10,3.795406e-01,1.369854e+00,3.795406e-01,3.6092,3.8024,0.0341,7.421496e+01
