iter,F_cheb,mean_F_k,worst_F_k,worst_k,worst_over_mean,mean_cos_theta,inner_mean,inner_std,eps_r_min,eps_r_max,mu,time_s,accepted,F_k_f1,F_k_f2,F_k_f3,R_tv,g_data_norm,g_tv_norm
1,4.363777e-01,4.363777e-01,2.655386e+00,35,6.0851,0.036667,4.0000,0.0000,4.0000,4.0000,0.050000,78.1,1,1.995745e-01,6.740352e-01,4.355234e-01,7.667280e-12,9.300126e-02,0.000000e+00

2,3.795406e-01,3.795406e-01,1.369854e+00,35,3.6092,0.000130,3.8024,0.0341,3.7511,3.8964,0.100000,76.6,0,2.287979e-01,5.139345e-01,3.958893e-01,7.421496e+01,3.256808e-02,2.733582e+02
3,3.795406e-01,3.795406e-01,1.369854e+00,35,3.6092,0.000130,3.8024,0.0341,3.7511,3.8964,0.025000,68.9,0,2.287979e-01,5.139345e-01,3.958893e-01,7.421496e+01,3.256808e-02,2.733582e+02
4,3.795406e-01,3.795406e-01,1.369854e+00,35,3.6092,0.000130,3.8024,0.0341,3.7511,3.8964,0.025000,69.2,0,2.287979e-01,5.139345e-01,3.958893e-01,7.421496e+01,3.256808e-02,2.733582e+02
5,3.795406e-01,3.795406e-01,1.369854e+00,35,3.6092,0.000130,3.8024,0.0341,3.7511,3.8964,0.025000,69.2,0,2.287979e-01,5.139345e-01,3.958893e-01,7.421496e+01,3.256808e-02,2.733582e+02
6,3.795406e-01,3.795406e-01,1.369854e+00,35,3.6092,0.000130,3.8024,0.0341,3.7511,3.8964,0.025000,66.1,0,2.287979e-01,5.139345e-01,3.958893e-01,7.421496e+01,3.256808e-02,2.733582e+02
7,3.795406e-01,3.795406e-01,1.369854e+00,35,3.6092,0.000130,3.8024,0.0341,3.7511,3.8964,0.025000,66.9,0,2.287979e-01,5.139345e-01,3.958893e-01,7.421496e+01,3.256808e-02,2.733582e+02
8,3.795406e-01,3.795406e-01,1.369854e+00,35,3.6092,0.000130,3.8024,0.0341,3.7511,3.8964,0.025000,66.1,0,2.287979e-01,5.139345e-01,3.958893e-01,7.421496e+01,3.256808e-02,2.733582e+02
9,3.795406e-01,3.795406e-01,1.369854e+00,35,3.6092,0.000130,3.8024,0.0341,3.7511,3.8964,0.025000,65.0,0,2.287979e-01,5.139345e-01,3.958893e-01,7.421496e+01,3.256808e-02,2.733582e+02
10,3.795406e-01,3.795406e-01,1.369854e+00,35,3.6092,0.000130,3.8024,0.0341,3.7511,3.8964,0.025000,65.8,0,2.287979e-01,5.139345e-01,3.958893e-01,7.421496e+01,3.256808e-02,2.733582e+02
