k,Re_x,Im_x,Re_y,Im_y,Re_z,Im_z,mean
1,1.813545e+00,1.813545e+00,1.051494e+00,1.051494e+00,1.813545e+00,1.813545e+00,1.559528e+00
2,2.251953e+00,2.251953e+00,3.376152e+00,3.376152e+00,2.548920e+00,2.548920e+00,2.725675e+00
3,1.873416e+00,1.873416e+00,1.659189e+00,1.659189e+00,1.620893e+00,1.620893e+00,1.717833e+00
4,1.729343e+00,1.729343e+00,1.979599e+00,1.979599e+00,1.040293e+00,1.040293e+00,1.583078e+00
5,1.329351e+00,1.329351e+00,4.887725e-01,4.887725e-01,2.109033e+00,2.109033e+00,1.309052e+00
6,1.404711e+00,1.404711e+00,1.782958e+00,1.782958e+00,1.019234e+00,1.019234e+00,1.402301e+00
7,2.685641e+00,2.685641e+00,1.647189e+00,1.647189e+00,1.605091e+00,1.605091e+00,1.979307e+00
8,2.505408e+00,2.505408e+00,1.613069e+00,1.613069e+00,6.321449e+00,6.321449e+00,3.479975e+00
9,1.369089e+00,1.369089e+00,2.361943e+00,2.361943e+00,3.277733e+01,3.277733e+01,1.216946e+01
10,4.304785e+00,4.304785e+00,2.646487e+00,2.646487e+00,4.415652e+00,4.415652e+00,3.788974e+00
11,3.027262e+00,3.027262e+00,3.088427e+00,3.088427e+00,7.232392e+00,7.232392e+00,4.449360e+00
12,1.645916e+00,1.645916e+00,5.481732e+00,5.481732e+00,7.565978e+00,7.565978e+00,4.897875e+00
13,1.703015e+00,1.703015e+00,7.539091e-01,7.539091e-01,1.715600e+00,1.715600e+00,1.390841e+00
14,2.069689e+00,2.069689e+00,1.139641e+00,1.139641e+00,2.170089e+00,2.170089e+00,1.793139e+00
15,2.930075e+00,2.930075e+00,1.811461e+00,1.811461e+00,2.927080e+00,2.927080e+00,2.556205e+00
16,3.182065e+00,3.182065e+00,7.003017e-01,7.003017e-01,6.945714e-01,6.945714e-01,1.525646e+00
17,2.570465e+00,2.570465e+00,2.673243e+00,2.673243e+00,3.265033e+01,3.265033e+01,1.263135e+01
18,1.234302e+00,1.234302e+00,1.095499e+00,1.095499e+00,1.194730e+00,1.194730e+00,1.174844e+00
19,2.552347e+00,2.552347e+00,3.659145e+00,3.659145e+00,1.010115e+01,1.010115e+01,5.437549e+00
20,8.322665e-01,8.322665e-01,1.289923e+00,1.289923e+00,1.379592e+00,1.379592e+00,1.167261e+00
21,5.558788e+00,5.558788e+00,7.672351e-01,7.672351e-01,1.321602e+01,1.321602e+01,6.514015e+00
